Gauss Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"Schneider SmartGen CS1800 Inverter - 1.1, Active Power","Schneider SmartGen CS1800 Inverter - 1.2, Active Power","Schneider SmartGen CS1800 Inverter - 2.1, Active Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-09-03 17:00:00,381.5349,626.3604,645.4658,-0.00032186,1252.174
2023-09-03 18:00:00,,,,,
2023-09-03 19:00:00,,,,,
2023-09-03 20:00:00,,,,,
2023-09-03 21:00:00,,,,,
2023-09-03 22:00:00,0,0.0004503006,0.009036938,0.01815484,-7.568568
2023-09-03 23:00:00,0,0.00265985,-0.004990277,-0.007803097,-7.516661
2023-09-04 00:00:00,0,-0.01821693,0.003348911,-0.008621282,-7.450587
2023-09-04 01:00:00,0,-0.0174513,-0.008021464,-0.008500006,-7.446156
2023-09-04 02:00:00,0,-0.02506389,0.002124705,0.005518438,-7.392789
2023-09-04 03:00:00,0,-0.0007989677,-0.002898258,0.008057603,-7.426494
2023-09-04 04:00:00,0,-0.01064853,-0.005113105,0.01531419,-7.419872
2023-09-04 05:00:00,0,-0.002298371,-0.001709284,7.85595e-05,-7.467157
2023-09-04 06:00:00,1.699226,0.001572578,-0.001865753,0.01141466,-7.516039
2023-09-04 07:00:00,77.45103,98.72615,58.43438,-0.008154433,152.7048
2023-09-04 08:00:00,278.9982,465.4005,482.2773,-0.003470442,940.6167
2023-09-04 09:00:00,518.2031,894.4486,926.1731,-0.002118671,1803.356
2023-09-04 10:00:00,730.1531,1250.614,1292.468,0.002574965,2512.597
2023-09-04 11:00:00,887.0427,1485.242,1537.637,0.005989742,2978.054
2023-09-04 12:00:00,975.158,1589.715,1641.464,-0.004916931,3181.626
2023-09-04 13:00:00,995.101,1592.22,1636.949,0.001733505,3178.266
2023-09-04 14:00:00,936.6094,1477.766,1591.985,-0.008303558,3020.467
2023-09-04 15:00:00,733.6917,1191.807,1255.38,0.0004245398,2389.859
2023-09-04 16:00:00,595.2526,991.5258,1019.678,-0.002035517,1980.654
2023-09-04 17:00:00,379.5703,617.0961,635.431,-0.00387921,1231.807
2023-09-04 18:00:00,134.6475,194.823,188.876,0.01002607,371.9849
2023-09-04 19:00:00,7.040386,12.39935,12.47056,-0.002141693,20.94392
2023-09-04 20:00:00,0,0.006795383,0.007514379,-0.007161451,-7.530472
