Monroe Moore Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Timestamp,POA*,"SMA 800 CP-US - A1, Pac","SMA 800 CP-US - A2, Pac","SMA 800 CP-US - B1, Pac","SMA 800 CP-US - B2, Pac","SMA 800 CP-US - C1, Pac","SMA 800 CP-US - C2, Pac",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW,kW
2023-09-01 00:00:00,0,0,0,0,0,0,0,-8.178483
2023-09-01 01:00:00,0,0,0,0,0,0,0,-8.237776
2023-09-01 02:00:00,0,0,0,0,0,0,0,-8.163775
2023-09-01 03:00:00,0,0,0,0,0,0,0,-8.23905
2023-09-01 04:00:00,0,0,0,0,0,0,0,-8.206895
2023-09-01 05:00:00,0,0,0,0,0,0,0,-8.103742
2023-09-01 06:00:00,0.2856449,0,0,0,0,0,0,-8.060655
2023-09-01 07:00:00,58.17099,42.23404,40.98661,37.58522,34.2219,33.20871,22.74228,205.7935
2023-09-01 08:00:00,276.1408,251.3387,244.8048,237.4669,217.439,223.2246,198.4425,1381.884
2023-09-01 09:00:00,533.8567,502.5414,505.3185,485.5022,450.199,466.9849,440.4871,2870.731
2023-09-01 10:00:00,751.3455,694.9741,701.3496,677.3145,630.2236,657.1856,627.3925,3987.175
2023-09-01 11:00:00,919.6474,818.9971,822.842,808.7814,759.3015,794.7934,754.1945,4731.828
2023-09-01 12:00:00,1020.899,832.9266,832.976,832.9068,823.4303,832.9697,819.7743,4937.636
2023-09-01 13:00:00,1044.642,832.941,832.9695,832.8845,832.9202,832.9838,832.4174,4955.875
2023-09-01 14:00:00,988.4975,829.2777,832.9341,831.9382,807.5578,829.5864,803.668,4893.496
2023-09-01 15:00:00,869.2012,747.7017,783.4639,767.6031,718.3963,759.9168,706.7983,4457.152
2023-09-01 16:00:00,674.4225,554.3846,586.9265,579.3358,549.5043,565.4957,561.6961,3386.241
2023-09-01 17:00:00,402.2375,321.9077,340.6418,359.3742,323.8675,344.0094,316.9049,2012.696
2023-09-01 18:00:00,176.6277,110.0635,112.3176,135.6759,131.7908,134.9837,133.1058,758.1969
2023-09-01 19:00:00,14.08265,10.10433,9.716142,10.75448,11.26583,11.75808,11.07524,56.75605
2023-09-01 20:00:00,0,0,0,0,0,0,0,-8.033573
2023-09-01 21:00:00,0,0,0,0,0,0,0,-8.029296
2023-09-01 22:00:00,0,0,0,0,0,0,0,-8.118689
2023-09-01 23:00:00,0,0,0,0,0,0,0,-8.137761
2023-09-02 00:00:00,0,0,0,0,0,0,0,-8.22243
2023-09-02 01:00:00,0,0,0,0,0,0,0,-8.201353
2023-09-02 02:00:00,0,0,0,0,0,0,0,-8.274928
2023-09-02 03:00:00,0,0,0,0,0,0,0,-8.27197
2023-09-02 04:00:00,0,0,0,0,0,0,0,-8.291039
2023-09-02 05:00:00,0,0,0,0,0,0,0,-8.299047
2023-09-02 06:00:00,0.06571644,0,0,0,0,0,0,-8.210219
2023-09-02 07:00:00,42.84101,34.3289,36.76793,25.00356,32.23055,32.04299,30.82033,185.7218
2023-09-02 08:00:00,183.9992,173.8602,171.7507,168.117,157.0504,162.1316,152.1527,990.9647
2023-09-02 09:00:00,405.8586,390.8003,394.7896,383.7112,362.1432,375.971,357.2685,2276.629
2023-09-02 10:00:00,706.6354,650.4221,655.6782,625.5621,587.0327,606.7742,593.3729,3725.017
2023-09-02 11:00:00,937.876,823.4509,813.7426,813.5303,763.665,799.2888,761.4384,4748.353
2023-09-02 12:00:00,937.4747,806.8517,783.6025,796.9904,759.9326,764.6702,764.4201,4649.035
2023-09-02 13:00:00,1045.622,832.9086,832.9547,832.9487,829.7745,832.9186,828.704,4949.979
2023-09-02 14:00:00,986.8562,824.1217,832.5977,828.5355,792.7538,809.6917,791.0343,4839
2023-09-02 15:00:00,851.9328,723.5401,758.9499,744.0756,699.6287,737.929,700.6011,4334.416
2023-09-02 16:00:00,661.9146,559.7738,582.267,591.963,553.4979,586.6802,556.7497,3415.961
2023-09-02 17:00:00,424.0471,337.7661,347.9208,383.8661,358.3948,382.7166,363.5344,2176.804
2023-09-02 18:00:00,179.5371,106.6814,110.636,137.1507,134.3571,140.8341,136.2563,764.6601
2023-09-02 19:00:00,11.41576,11.36832,10.75318,11.71128,12.60384,12.86699,12.38894,63.96046
2023-09-02 20:00:00,0,0,0,0,0,0,0,-8.029702
2023-09-02 21:00:00,0,0,0,0,0,0,0,-8.143511
2023-09-02 22:00:00,0,0,0,0,0,0,0,-8.180297
2023-09-02 23:00:00,0,0,0,0,0,0,0,-8.125252
2023-09-03 00:00:00,0,0,0,0,0,0,0,-8.199973
2023-09-03 01:00:00,0,0,0,0,0,0,0,-8.259221
2023-09-03 02:00:00,0,0,0,0,0,0,0,-8.27055
2023-09-03 03:00:00,0,0,0,0,0,0,0,-8.275753
2023-09-03 04:00:00,0,0,0,0,0,0,0,-8.292026
