Merrill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-09-01 00:00:00,-0.1752602,0,0,0,0,-13.70717
2023-09-01 01:00:00,-0.418398,0,0,0,0,-13.70617
2023-09-01 02:00:00,-0.2289384,0,0,0,0,-13.766
2023-09-01 03:00:00,-0.3257295,0,0,0,0,-13.79967
2023-09-01 04:00:00,-0.3620963,0,0,0,0,-13.86833
2023-09-01 05:00:00,-0.2983078,0,0,0,0,-13.72433
2023-09-01 06:00:00,1.991333,0,0,0,0,-8.556167
2023-09-01 07:00:00,21.71234,29.92,24.59167,23.21167,24.41166,147.1727
2023-09-01 08:00:00,16.9276,10.52333,11.46167,11.38167,12.46333,96.94334
2023-09-01 09:00:00,54.65569,102.7867,102.3633,101.8433,107.86,401.7103
2023-09-01 10:00:00,131.9722,257.9033,253.0383,247.9817,259.355,1006.772
2023-09-01 11:00:00,425.3401,861.4767,837.3084,805.1833,827.0082,3309.531
2023-09-01 12:00:00,229.2092,496.5267,486.4483,473.5566,488.9967,1933.128
2023-09-01 13:00:00,148.558,333.245,327.7017,319.93,333.5617,1300.499
2023-09-01 14:00:00,173.6323,357.4233,355.5734,349.355,363.5633,1412.172
2023-09-01 15:00:00,46.86998,83.50333,81.13333,77.89667,82.635,337.3951
2023-09-01 16:00:00,50.95221,94.53168,91.95335,89.25667,94.84335,351.1024
2023-09-01 17:00:00,33.81404,67.555,64.505,62.49833,65.90667,235.0475
2023-09-01 18:00:00,24.58587,44.26,39.59833,36.84,45.2,161.3908
2023-09-01 19:00:00,6.300572,0,0,0,0,19.05283
2023-09-01 20:00:00,-0.3180672,0,0,0,0,-13.09867
2023-09-01 21:00:00,-0.2021948,0,0,0,0,-13.25433
2023-09-01 22:00:00,-0.3020118,0,0,0,0,-13.25
2023-09-01 23:00:00,-0.3163553,,,,,
2023-09-02 00:00:00,-0.2772755,,,,,
2023-09-02 01:00:00,-0.2013246,,,,,
2023-09-02 02:00:00,-0.3887166,,,,,
2023-09-02 03:00:00,-0.3496951,,,,,
2023-09-02 04:00:00,-0.2698649,,,,,
2023-09-02 05:00:00,-0.2458591,0,0,0,0,-11.11009
2023-09-02 06:00:00,4.309058,0,0,0,0,8.169666
2023-09-02 07:00:00,79.10912,116.8683,113.8367,111.3467,119.03,431.6423
2023-09-02 08:00:00,292.4492,520.81,477.5333,458.8183,475.97,1657.354
2023-09-02 09:00:00,751.0814,1381.792,1328.028,1298.47,1388.055,4493.6
