NC Solar II,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA,"SMA Inverter - A, Total AC Active Power","SMA Inverter - B, Total AC Active Power","SMA Inverter - C, Total AC Active Power","SMA Inverter - D, Total AC Active Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-12-01 00:00:00,0.540764,0,0,0,0,-1.537075
2023-12-01 01:00:00,0.3114583,0,0,0,0,-1.517083
2023-12-01 02:00:00,0.2069467,0,0,0,0,-1.534167
2023-12-01 03:00:00,0.1048588,0,0,0,0,-1.578737
2023-12-01 04:00:00,0,0,0,0,0,-1.544986
2023-12-01 05:00:00,0,0,0,0,0,-1.490502
2023-12-01 06:00:00,0.04507401,0.007454372,0.006796767,0,0,-1.439643
2023-12-01 07:00:00,12.73342,4.264619,3.938596,4.019482,2.489158,12.79261
2023-12-01 08:00:00,58.63061,30.55356,29.19709,29.44915,23.03324,87.96178
2023-12-01 09:00:00,125.2708,67.88042,66.437,66.28901,51.37239,181.7695
2023-12-01 10:00:00,151.6575,80.72224,78.51003,78.57539,60.63631,212.8764
2023-12-01 11:00:00,157.5945,85.51569,81.64286,83.17194,64.23775,222.3377
2023-12-01 12:00:00,96.63031,48.62951,46.85827,47.29798,36.4947,126.9183
2023-12-01 13:00:00,194.1705,107.6772,103.8274,103.6759,79.89899,338.5717
2023-12-01 14:00:00,138.3153,73.44542,70.52084,71.48534,55.17033,248.0654
2023-12-01 15:00:00,76.94379,38.09533,36.20946,36.97946,28.61123,107.98
2023-12-01 16:00:00,30.96695,11.76942,11.23733,11.32182,8.594435,27.96757
2023-12-01 17:00:00,1.10269,0.02835606,0.02599303,0.02769005,0.01355942,-1.522086
2023-12-01 18:00:00,0,0,0,0,0,-1.538335
2023-12-01 19:00:00,0,0,0,0,0,-1.569167
2023-12-01 20:00:00,0.4995834,0,0,0,0,-1.8425
2023-12-01 21:00:00,0,0,0,0,0,-74.59687
2023-12-01 22:00:00,0.5775025,0,0,0,0,-60.2365
2023-12-01 23:00:00,0.105206,0,0,0,0,-2.138279
2023-12-02 00:00:00,0.1258333,0,0,0,0,-2.287306
2023-12-02 01:00:00,0.4336111,0,0,0,0,-2.847856
2023-12-02 02:00:00,0,0,0,0,0,-2.743746
2023-12-02 03:00:00,0,0,0,0,0,-2.615015
2023-12-02 04:00:00,0.4162624,0,0,0,0,-2.772094
2023-12-02 05:00:00,5.71089e-05,0,0,0,0,-93.54476
2023-12-02 06:00:00,0,0,0,0,0,-100.3179
2023-12-02 07:00:00,13.36703,5.299681,4.988973,4.918344,2.864536,-78.78135
2023-12-02 08:00:00,53.98782,25.7156,24.84716,24.62033,19.29034,75.42075
2023-12-02 09:00:00,92.90828,46.83598,45.30767,45.95376,35.72004,132.5108
2023-12-02 10:00:00,136.7262,71.62576,68.70072,70.20476,54.46059,202.5084
2023-12-02 11:00:00,206.3865,108.9203,105.4264,107.0339,83.03344,280.2719
2023-12-02 12:00:00,195.0502,101.3435,98.01048,98.81933,76.63909,292.7155
2023-12-02 13:00:00,173.0322,90.06497,87.41071,87.96515,68.30762,283.2659
2023-12-02 14:00:00,123.5309,65.28807,62.13585,63.07241,49.13401,197.2593
2023-12-02 15:00:00,52.04147,24.36653,23.37309,23.44872,18.42899,71.08531
2023-12-02 16:00:00,24.77177,9.149505,8.729111,8.660377,6.49151,22.64077
2023-12-02 17:00:00,0.3808331,0.002680624,0.001663814,0.002088764,0.00122715,-1.917207
2023-12-02 18:00:00,0,0,0,0,0,-1.582917
2023-12-02 19:00:00,0,0,0,0,0,-1.5875
2023-12-02 20:00:00,0,0,0,0,0,-1.597924
2023-12-02 21:00:00,0,0,0,0,0,-19.60456
2023-12-02 22:00:00,0.1069444,0,0,0,0,-16.72098
2023-12-02 23:00:00,0,0,0,0,0,-8.888448
2023-12-03 00:00:00,0,0,0,0,0,-4.501116
2023-12-03 01:00:00,0,0,0,0,0,-2.003659
2023-12-03 02:00:00,0,0,0,0,0,-2.350176
2023-12-03 03:00:00,0,0,0,0,0,-2.201651
