Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-10-01 00:00:00,0,0,0,0,-7.375236
2023-10-01 01:00:00,0,0,0,0,-7.385436
2023-10-01 02:00:00,0,0,0,0,-7.3924
2023-10-01 03:00:00,0,0,0,0,-7.338121
2023-10-01 04:00:00,0,0,0,0,-7.351706
2023-10-01 05:00:00,0,0,0,0,-7.367056
2023-10-01 06:00:00,0.004254144,0,0,0,-7.299822
2023-10-01 07:00:00,51.68602,82.5,89.75,79.5,240.2379
2023-10-01 08:00:00,286.6591,484,520.25,462,1444.382
2023-10-01 09:00:00,488.8411,942.75,1012.5,900.25,2821.169
2023-10-01 10:00:00,709.3845,1301,1401.75,1247,3896.605
2023-10-01 11:00:00,772.1378,1308.5,1393.5,1293,3844.597
2023-10-01 12:00:00,932.4501,1579,1576.5,1404.75,4361.722
2023-10-01 13:00:00,849.6975,1351,1384.25,1253.5,3873.559
2023-10-01 14:00:00,832.808,1378,1484.25,1364.25,4242.366
2023-10-01 15:00:00,600.4457,1065.5,1189.25,1040.5,3259.285
2023-10-01 16:00:00,437.7031,762.75,816.5,724.25,2233.044
2023-10-01 17:00:00,204.7833,341.25,366,318,1016.213
2023-10-01 18:00:00,34.35455,59.5,63.5,51.75,171.9625
2023-10-01 19:00:00,0,0,0,0,-7.110987
2023-10-01 20:00:00,0,0,0,0,-7.175453
2023-10-01 21:00:00,0,0,0,0,-7.171829
2023-10-01 22:00:00,0,0,0,0,-7.233977
2023-10-01 23:00:00,0,0,0,0,-7.295559
2023-10-02 00:00:00,0,0,0,0,-7.333113
2023-10-02 01:00:00,0,0,0,0,-7.367005
2023-10-02 02:00:00,0,0,0,0,-7.366132
2023-10-02 03:00:00,0,0,0,0,-7.347542
2023-10-02 04:00:00,0,0,0,0,-7.322147
2023-10-02 05:00:00,0,0,0,0,-7.24064
2023-10-02 06:00:00,0,0,0,0,-7.107243
2023-10-02 07:00:00,54.34077,79.5,84.75,75.5,231.1216
2023-10-02 08:00:00,253.5022,472.5,506,451.75,1410.667
2023-10-02 09:00:00,498.7648,931.75,1000.75,890.5,2789.724
2023-10-02 10:00:00,707.6365,1287.25,1385.75,1234.75,3856.145
2023-10-02 11:00:00,853.9479,1497.25,1616,1439,4490.33
2023-10-02 12:00:00,931.1996,1598.5,1666.25,1536.75,4732.825
2023-10-02 13:00:00,927.0866,1595.75,1666,1533.25,4729.323
2023-10-02 14:00:00,849.3075,1478.5,1591.75,1415.25,4429.335
2023-10-02 15:00:00,701.4875,1238,1338,1187.5,3719.861
2023-10-02 16:00:00,494.4591,879.25,944.25,838.75,2637.856
2023-10-02 17:00:00,254.5202,430.5,459.75,394.75,1271.183
