Nitro,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA,"AE 1000NX A, AC Power","AE 1000NX B, AC Power","AE 1000NX C, AC Power","AE 1000NX D, AC Power","AE 1000NX E, AC Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW
2024-04-01 00:00:00,0,0,0,0,0,0,-14.39095
2024-04-01 01:00:00,0,0,0,0,0,0,-14.34972
2024-04-01 02:00:00,0,0,0,0,0,0,-14.37813
2024-04-01 03:00:00,0,0,0,0,0,0,-14.53347
2024-04-01 04:00:00,0,0,0,0,0,0,-14.56925
2024-04-01 05:00:00,0,0,0,0,0,0,-13.64887
2024-04-01 06:00:00,0.06449625,0,0,0,0,0,-17.84912
2024-04-01 07:00:00,37.06408,46.94329,44.71235,49.51965,44.01321,44.29426,206.0952
2024-04-01 08:00:00,193.8316,227.6805,219.4671,234.9702,218.5495,205.9954,1096.478
2024-04-01 09:00:00,262.5866,289.7134,282.779,295.9689,278.5704,265.5547,1402.741
2024-04-01 10:00:00,326.7552,383.2095,378.8806,390.2475,371.5363,360.3277,1869.976
2024-04-01 11:00:00,470.8523,522.5142,517.2331,523.9484,503.8001,485.7065,2516.527
2024-04-01 12:00:00,661.1566,745.3293,732.4276,770.5015,730.7937,718.063,3672.571
2024-04-01 13:00:00,701.3638,767.7405,748.4212,773.1744,738.8954,730.4814,3730.856
2024-04-01 14:00:00,390.5414,448.6812,438.5354,456.0357,431.8349,420.8321,2182.704
2024-04-01 15:00:00,546.4027,617.9768,599.1963,617.0678,585.3465,577.3898,2990.564
2024-04-01 16:00:00,457.1903,523.1718,516.5001,519.7347,501.5971,474.5623,2496.819
2024-04-01 17:00:00,244.6313,275.6581,277.3571,279.8116,272.524,252.8641,1340.774
2024-04-01 18:00:00,112.3839,109.7851,113.6717,111.7536,112.9056,103.7014,525.5886
2024-04-01 19:00:00,10.16569,6.5881,6.595321,6.615879,6.258318,6.140046,6.532551
2024-04-01 20:00:00,0,0,0,0,0,0,-13.35268
2024-04-01 21:00:00,0,0,0,0,0,0,-12.92839
2024-04-01 22:00:00,0,0,0,0,0,0,-12.84968
2024-04-01 23:00:00,0,0,0,0,0,0,-12.79309
2024-04-02 00:00:00,0,0,0,0,0,0,-12.8196
2024-04-02 01:00:00,0,0,0,0,0,0,-12.93974
2024-04-02 02:00:00,0,0,0,0,0,0,-12.90951
2024-04-02 03:00:00,0,0,0,0,0,0,-12.94538
