Lakeview Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-11-01 00:00:00,0,0,0,0,0,-13.42533
2023-11-01 01:00:00,0,0,0,0,0,-13.40067
2023-11-01 02:00:00,0.02584988,0,0,0,0,-13.406
2023-11-01 03:00:00,0.01360269,0,0,0,0,-13.38517
2023-11-01 04:00:00,0,0,0,0,0,-13.281
2023-11-01 05:00:00,0,0,0,0,0,-13.20717
2023-11-01 06:00:00,0,0,0,0,0,-13.1165
2023-11-01 07:00:00,12.96611,2.355,2.550833,2.765832,2.155,19.84499
2023-11-01 08:00:00,177.3799,253.9642,256.4217,260.0117,247.3425,1000.906
2023-11-01 09:00:00,295.1002,792.1617,807.6666,814.26,783.9101,3189.616
2023-11-01 10:00:00,407.5854,1279.037,1289.803,1308.672,1255.746,5099.436
2023-11-01 11:00:00,594.0741,1819.877,1834.858,1859.661,1787.188,7262.433
2023-11-01 12:00:00,533.7257,1589.524,1599.807,1619.098,1546.567,6312.205
2023-11-01 13:00:00,540.2518,1600.182,1610.881,1646.634,1581.915,6410.338
2023-11-01 14:00:00,373.0458,1099.552,1122.405,1134.434,1101.087,4391.771
2023-11-01 15:00:00,419.3379,1352.334,1334.761,1343.292,1264.158,5286.586
2023-11-01 16:00:00,97.46834,214.8766,216.1517,219.645,210.66,856.9355
2023-11-01 17:00:00,18.31787,20.96416,21.545,22.3525,19.80917,101.3968
2023-11-01 18:00:00,0.0326623,0,0,0,0,-13.0115
2023-11-01 19:00:00,0,0,0,0,0,-13.09533
2023-11-01 20:00:00,0,0,0,0,0,-13.13133
2023-11-01 21:00:00,0,0,0,0,0,-13.22933
2023-11-01 22:00:00,0,0,0,0,0,-13.2705
2023-11-01 23:00:00,0,0,0,0,0,-13.24067
2023-11-02 00:00:00,0,0,0,0,0,-13.17767
2023-11-02 01:00:00,0,0,0,0,0,-13.16698
2023-11-02 02:00:00,0,0,0,0,0,-13.22814
2023-11-02 03:00:00,0.003994762,0,0,0,0,-13.24117
2023-11-02 04:00:00,0,0,0,0,0,-13.0075
2023-11-02 05:00:00,0,0,0,0,0,-12.91183
2023-11-02 06:00:00,0,0,0,0,0,-12.86234
