Turkey Hill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-11-01 00:00:00,-0.04624167,0,0,0,0,-14.27017
2023-11-01 01:00:00,-0.1518583,0,0,0,0,-14.55966
2023-11-01 02:00:00,-0.1891448,0,0,0,0,-14.47816
2023-11-01 03:00:00,-0.2151499,0,0,0,0,-14.38283
2023-11-01 04:00:00,-0.05726775,0,0,0,0,-14.71167
2023-11-01 05:00:00,-0.1102317,0,0,0,0,-14.667
2023-11-01 06:00:00,-0.1254113,0,0,0,0,-14.49317
2023-11-01 07:00:00,3.751678,0.7316667,0.7216668,0.6083332,0.5966668,8.399497
2023-11-01 08:00:00,361.4946,353.55,354.38,356.1867,344.1333,1415.525
2023-11-01 09:00:00,622.9684,998.6353,1001.338,1013.988,986.5567,4006.079
2023-11-01 10:00:00,469.3458,939.0316,932.5699,943.925,931.4466,3750.08
2023-11-01 11:00:00,589.9367,1411.327,1407.178,1415.585,1377.496,5570.929
2023-11-01 12:00:00,536.2647,1344.958,1345.958,1353.39,1321.395,5378.103
2023-11-01 13:00:00,511.8847,1255.867,1268.822,1289.883,1261.055,5041.142
2023-11-01 14:00:00,617.1219,1364.849,1374.899,1397.805,1380.57,5451.373
2023-11-01 15:00:00,535.0092,983.5485,985.5881,982.4384,968.3165,3827.461
2023-11-01 16:00:00,560.3718,819.2852,814.9418,813.64,797.1749,3155.22
2023-11-01 17:00:00,179.3527,345.825,340.1233,346.7533,334.8333,1355.865
2023-11-01 18:00:00,0.1289391,0,0,0,0,-14.1805
2023-11-01 19:00:00,-0.1125971,0,0,0,0,-14.17751
2023-11-01 20:00:00,-0.1433079,0,0,0,0,-14.17517
2023-11-01 21:00:00,-0.147086,0,0,0,0,-14.19833
2023-11-01 22:00:00,-0.1740336,0,0,0,0,-14.36683
2023-11-01 23:00:00,-0.1207211,0,0,0,0,-14.43867
2023-11-02 00:00:00,-0.2281401,0,0,0,0,-14.3675
2023-11-02 01:00:00,-0.2614417,0,0,0,0,-14.40433
2023-11-02 02:00:00,-0.002614167,0,0,0,0,-14.47316
2023-11-02 03:00:00,-0.1672992,0,0,0,0,-14.5655
2023-11-02 04:00:00,-0.2283873,0,0,0,0,-14.53917
