Gauss Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"Schneider SmartGen CS1800 Inverter - 1.1, Active Power","Schneider SmartGen CS1800 Inverter - 1.2, Active Power","Schneider SmartGen CS1800 Inverter - 2.1, Active Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-11-01 00:00:00,0,-0.01990192,0.003256341,-0.0006284185,-7.724672
2023-11-01 01:00:00,0,-0.01464663,-0.01798117,0.003372896,-7.6277
2023-11-01 02:00:00,0,0.004443978,-0.008393758,-0.00325446,-7.609334
2023-11-01 03:00:00,0,-0.01024892,0.01142071,-0.004557584,-7.535479
2023-11-01 04:00:00,0,-0.002771264,-0.009103148,0.002160427,-7.509832
2023-11-01 05:00:00,0,-0.001267675,-0.00361476,-0.009773191,-7.470195
2023-11-01 06:00:00,0,0.004837162,-0.007400524,0.003199414,-7.492284
2023-11-01 07:00:00,8.933999,3.31483,4.00791,3.068918,4.08074
2023-11-01 08:00:00,232.8976,242.764,276.8387,252.8145,781.3108
2023-11-01 09:00:00,507.279,894.4942,955.6493,941.1899,2772.111
2023-11-01 10:00:00,687.9368,1245.484,1314.819,1296.95,3828.533
2023-11-01 11:00:00,901.6718,1599.309,702.1258,1636.765,3960.538
2023-11-01 12:00:00,974.7156,1652.919,1656.313,1644.089,4884.782
2023-11-01 13:00:00,975.3879,1666.648,1666.653,1666.65,4939.43
2023-11-01 14:00:00,886.5599,1572.038,1634.51,1633.463,4781.696
2023-11-01 15:00:00,708.9107,1271.377,1344.751,1342.494,3914.913
2023-11-01 16:00:00,464.4188,822.6049,862.3394,866.6093,2528.869
2023-11-01 17:00:00,182.4917,115.9404,126.1893,131.0126,371.3914
2023-11-01 18:00:00,1.965791,1.756852,2.036934,0.7273834,1.180224
2023-11-01 19:00:00,0,-0.001844626,-0.01479916,-0.00143652,-7.57472
2023-11-01 20:00:00,0,-0.002309083,-0.008681946,0.008289965,-7.566976
