Merrill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-11-01 00:00:00,-0.1889706,0,0,0,0,-13.61827
2023-11-01 01:00:00,-0.2766015,0,0,0,0,-13.81114
2023-11-01 02:00:00,-0.1989014,0,0,0,0,-13.80133
2023-11-01 03:00:00,-0.2472778,0,0,0,0,-13.87283
2023-11-01 04:00:00,-0.2082367,0,0,0,0,-14.07383
2023-11-01 05:00:00,-0.2118562,0,0,0,0,-14.12084
2023-11-01 06:00:00,-0.3545727,0,0,0,0,-14.10767
2023-11-01 07:00:00,3.908844,1.281667,1.295,1.371667,1.358333,6.178665
2023-11-01 08:00:00,232.6944,208.2583,202.5467,216.8417,212.9783,833.6335
2023-11-01 09:00:00,470.6865,643.4083,639.7117,670.1683,669.1683,2640.34
2023-11-01 10:00:00,520.145,993.0349,989.0718,1034.078,1026.148,4041.108
2023-11-01 11:00:00,487.7101,937.5848,939.7751,983.0401,978.52,3814.099
2023-11-01 12:00:00,554.8643,1177.71,1184.499,1237.227,1237.234,4829.075
2023-11-01 13:00:00,539.0317,1113.672,1116.668,1174.695,1167.082,4548.334
2023-11-01 14:00:00,618.7578,1216.74,1204.533,1259.77,1250.115,4915.733
2023-11-01 15:00:00,367.8186,585.935,592.0016,616.52,630.3349,2431.313
2023-11-01 16:00:00,387.0952,539.4683,545.7817,567.3267,559.6167,2193.866
2023-11-01 17:00:00,136.4223,172.8267,181.4267,189.54,188.8717,731.2477
2023-11-01 18:00:00,-0.06399765,0,0,0,0,-14.02017
2023-11-01 19:00:00,-0.2538395,0,0,0,0,-13.78917
2023-11-01 20:00:00,-0.2377569,0,0,0,0,-13.76183
2023-11-01 21:00:00,-0.3478501,0,0,0,0,-13.72917
2023-11-01 22:00:00,-0.2126662,0,0,0,0,-13.6235
2023-11-01 23:00:00,-0.2628005,0,0,0,0,-13.67933
2023-11-02 00:00:00,-0.4370446,0,0,0,0,-13.65516
2023-11-02 01:00:00,-0.2817172,0,0,0,0,-13.62408
2023-11-02 02:00:00,-0.1348151,0,0,0,0,-13.6845
2023-11-02 03:00:00,-0.310314,0,0,0,0,-13.74683
2023-11-02 04:00:00,-0.4133534,0,0,0,0,-13.72383
2023-11-02 05:00:00,-0.4515257,0,0,0,0,-13.80333
2023-11-02 06:00:00,-0.2851343,0,0,0,0,-13.84767
2023-11-02 07:00:00,0.4012836,0,0,0,0,-13.76184
2023-11-02 08:00:00,18.43,28.975,28.22667,30.38167,29.87667,125.1611
