Turkey Hill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2024-02-01 00:00:00,-0.1960173,0,0,0,0,-14.71033
2024-02-01 01:00:00,-0.08249126,0,0,0,0,-14.584
2024-02-01 02:00:00,-0.113669,0,0,0,0,-14.55693
2024-02-01 03:00:00,-0.1559401,0,0,0,0,-14.50217
2024-02-01 04:00:00,-0.118938,0,0,0,0,-14.47666
2024-02-01 05:00:00,-0.1005481,0,0,0,0,-14.3945
2024-02-01 06:00:00,-0.2852515,0,0,0,0,-14.55967
2024-02-01 07:00:00,26.1286,24.26436,25.095,25.01,25.63833,95.16833
2024-02-01 08:00:00,144.4977,201.6967,203.4834,203.7583,205.56,803.9294
2024-02-01 09:00:00,446.8472,813.6465,830.875,810.7017,809.5549,3159.563
2024-02-01 10:00:00,378.6709,928.8018,958.2849,996.8917,979.1517,3841.442
2024-02-01 11:00:00,466.756,1294.412,1309.647,1279.595,1285.173,5253.134
2024-02-01 12:00:00,525.6281,1497.782,1508.635,1491.055,1507.601,6032.463
2024-02-01 13:00:00,606.8647,1650.138,1706.343,1705.599,1740.266,6789.807
2024-02-01 14:00:00,812.0363,1775.565,1778.858,1734.109,1743.644,7011.616
2024-02-01 15:00:00,439.3575,840.1133,822.9882,787.145,768.3082,3145.229
2024-02-01 16:00:00,49.59863,73.56168,72.90833,69.92335,69.96666,299.2352
2024-02-01 17:00:00,2.351106,0,0,0,0,-7.454665
2024-02-01 18:00:00,-0.1502913,0,0,0,0,-14.59767
2024-02-01 19:00:00,-0.1627918,0,0,0,0,-14.59783
2024-02-01 20:00:00,-0.2083725,0,0,0,0,-14.689
2024-02-01 21:00:00,-0.1790663,0,0,0,0,-14.69816
2024-02-01 22:00:00,-0.1927246,0,0,0,0,-14.6995
2024-02-01 23:00:00,-0.1019282,0,0,0,0,-14.58584
2024-02-02 00:00:00,-0.1037095,0,0,0,0,-14.479
2024-02-02 01:00:00,-0.1801335,0,0,0,0,-14.49583
2024-02-02 02:00:00,-0.19061,0,0,0,0,-14.53267
2024-02-02 03:00:00,-0.2287425,0,0,0,0,-14.45883
2024-02-02 04:00:00,-0.1396119,0,0,0,0,-14.44918
