NC Solar II,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA,"SMA Inverter - A, Total AC Active Power","SMA Inverter - B, Total AC Active Power","SMA Inverter - C, Total AC Active Power","SMA Inverter - D, Total AC Active Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2024-02-01 00:00:00,0.561875,0,0,0,0,2.167386
2024-02-01 01:00:00,0,0,0,0,0,0.6778269
2024-02-01 02:00:00,0,0,0,0,0,1.349972
2024-02-01 03:00:00,0,0,0,0,0,-0.8506229
2024-02-01 04:00:00,0,0,0,0,0,-1.95336
2024-02-01 05:00:00,0.4398865,0,0,0,0,-1.951215
2024-02-01 06:00:00,0.2087245,0,0,0,0,-1.960347
2024-02-01 07:00:00,36.97498,12.49852,7.428584,4.11047,4.317882,30.86519
2024-02-01 08:00:00,312.5695,102.3752,91.75113,79.38596,74.54217,334.8929
2024-02-01 09:00:00,537.1315,292.2121,270.07,260.8212,250.7374,1097.8
2024-02-01 10:00:00,707.5621,392.8743,363.6939,345.1854,339.5315,1183.268
2024-02-01 11:00:00,813.1006,446.4434,412.2979,390.6656,386.2527,1328.375
2024-02-01 12:00:00,847.0156,469.5098,434.7837,409.7007,406.0317,1389.223
2024-02-01 13:00:00,799.8284,451.8687,419.1097,393.2716,389.2833,1196.598
2024-02-01 14:00:00,687.0034,394.5491,366.7037,343.238,338.5128,1269.759
2024-02-01 15:00:00,508.7592,294.1153,275.4699,257.1255,250.8786,956.013
2024-02-01 16:00:00,276.9236,108.8315,104.8544,93.83634,91.12016,339.9258
2024-02-01 17:00:00,44.79887,11.09605,10.67751,9.383676,9.062821,37.12826
2024-02-01 18:00:00,0.1504167,0.0006397088,0.0004669445,0.0008473584,0.0003496677,-1.793537
2024-02-01 19:00:00,0.6433425,0,0,0,0,-1.781251
2024-02-01 20:00:00,0.1055463,0,0,0,0,-1.795803
2024-02-01 21:00:00,0,0,0,0,0,-1.48169
2024-02-01 22:00:00,0,0,0,0,0,-1.117872
2024-02-01 23:00:00,0,0,0,0,0,-1.117115
2024-02-02 00:00:00,0,0,0,0,0,-1.154554
2024-02-02 01:00:00,0,0,0,0,0,-1.163333
2024-02-02 02:00:00,0.2495834,0,0,0,0,-1.390017
2024-02-02 03:00:00,0.125,0,0,0,0,-1.938921
2024-02-02 04:00:00,0,0,0,0,0,-1.942525
2024-02-02 05:00:00,0.8939585,0,0,0,0,-1.7287
2024-02-02 06:00:00,0,0,0,0,0,-1.69875
2024-02-02 07:00:00,20.95854,9.717987,8.814854,7.48506,7.633259,42.87398
2024-02-02 08:00:00,92.47252,49.91939,47.71133,42.81443,41.69032,177.571
2024-02-02 09:00:00,251.0119,144.6627,134.2849,125.5874,118.9294,498.6971
2024-02-02 10:00:00,531.3878,284.5598,268.2828,246.1961,239.5879,1070.668
2024-02-02 11:00:00,600.7877,354.7516,331.8516,307.4041,301.9221,918.7287
2024-02-02 12:00:00,625.6169,319.1784,298.0269,274.7834,265.8815,999.871
2024-02-02 13:00:00,739.811,416.2176,381.7338,358.789,353.476,1186.646
2024-02-02 14:00:00,566.9849,310.0416,287.1782,267.1137,262.5416,940.0942
2024-02-02 15:00:00,452.7316,261.2934,239.528,222.8112,217.1789,834.9833
2024-02-02 16:00:00,260.6804,106.9313,102.527,91.07438,87.92631,308.9911
2024-02-02 17:00:00,29.85752,9.028154,8.031222,7.306252,7.144815,25.89398
2024-02-02 18:00:00,0.4789591,0.001355156,0.0008114253,0.000431074,0.0005703345,-1.50125
2024-02-02 19:00:00,0.1258332,0,0,0,0,-1.795799
2024-02-02 20:00:00,0.2083333,0,0,0,0,-1.811667
2024-02-02 21:00:00,0,0,0,0,0,-1.819596
2024-02-02 22:00:00,0.5618055,0,0,0,0,-1.514583
2024-02-02 23:00:00,0.2086805,0,0,0,0,-1.12875
2024-02-03 00:00:00,0,0,0,0,0,-1.131239
2024-02-03 01:00:00,0.2921528,0,0,0,0,-1.123927
2024-02-03 02:00:00,0,0,0,0,0,-1.5025
