Dairy Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2024-02-01 00:00:00,-0.1636191,0,0,0,0,
2024-02-01 01:00:00,-0.2110409,0,0,0,0,
2024-02-01 02:00:00,-0.225987,0,0,0,0,
2024-02-01 03:00:00,-0.1581082,0,0,0,0,
2024-02-01 04:00:00,-0.08433045,0,0,0,0,
2024-02-01 05:00:00,-0.2848443,0,0,0,0,
2024-02-01 06:00:00,-0.1558011,0,0,0,0,
2024-02-01 07:00:00,28.27626,21.90166,21.91666,22.50833,24.03,
2024-02-01 08:00:00,232.6677,341.1883,340.015,315.825,347.2617,
2024-02-01 09:00:00,350.9738,817.92,812.2767,702.5483,822.0099,
2024-02-01 10:00:00,388.789,1015.63,1011.512,924.3283,1028.107,
2024-02-01 11:00:00,468.5146,1284.797,1236.158,1096.1,1186.598,
2024-02-01 12:00:00,599.8027,1700.64,1754.302,1662.198,1800.312,
2024-02-01 13:00:00,396.6169,1119.7,1097.53,1042.528,1081.383,
2024-02-01 14:00:00,320.9341,816.63,778.24,683.21,647.785,
2024-02-01 15:00:00,119.038,221.2567,228.9783,250.625,248.3783,
2024-02-01 16:00:00,89.17938,133.7333,132.7433,134.7017,133.4517,
2024-02-01 17:00:00,1.777896,0,0,0,0,
2024-02-01 18:00:00,-0.3286896,0,0,0,0,
2024-02-01 19:00:00,-0.2293388,0,0,0,0,
2024-02-01 20:00:00,-0.340661,0,0,0,0,
2024-02-01 21:00:00,-0.3019592,0,0,0,0,
2024-02-01 22:00:00,-0.3352642,0,0,0,0,
2024-02-01 23:00:00,-0.2766671,0,0,0,0,
2024-02-02 00:00:00,-0.2523921,0,0,0,0,
2024-02-02 01:00:00,-0.2388471,0,0,0,0,
2024-02-02 02:00:00,-0.3398556,0,0,0,0,
2024-02-02 03:00:00,-0.2637952,0,0,0,0,
2024-02-02 04:00:00,-0.2228817,0,0,0,0,
2024-02-02 05:00:00,-0.3099458,0,0,0,0,
2024-02-02 06:00:00,-0.2584214,0,0,0,0,
2024-02-02 07:00:00,16.2226,6.665,7.216668,8.478333,10.335,
2024-02-02 08:00:00,76.37383,114.845,114.0117,128.5517,115.7233,
2024-02-02 09:00:00,69.61259,144.3117,145.0367,175.455,152.3467,
2024-02-02 10:00:00,179.699,478.41,466.91,460.9,450.9917,
2024-02-02 11:00:00,143.8955,440.0317,437.825,434.1283,439.9417,
2024-02-02 12:00:00,144.3006,471.7466,472.9966,467.03,478.8134,
