"Sonne Two, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA SC-1850-US - 1, AC Real Power","SMA SC-1850-US - 2, AC Real Power","SMA SC-1850-US - 3, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2024-02-01 00:00:00,0,0,0,0,-4.292928
2024-02-01 01:00:00,0,0,0,0,-4.353982
2024-02-01 02:00:00,0,0,0,0,-4.342422
2024-02-01 03:00:00,0,0,0,0,-4.29919
2024-02-01 04:00:00,0,0,0,0,-4.252792
2024-02-01 05:00:00,0,0,0,0,-4.356594
2024-02-01 06:00:00,0,0,0,0,-4.175514
2024-02-01 07:00:00,44.84637,36.25,43.25,20.25,97.62884
2024-02-01 08:00:00,323.9927,475.5,562.5,402.5,1437.747
2024-02-01 09:00:00,537.6305,1060,1119.25,1026.25,3191.829
2024-02-01 10:00:00,740.9419,1467.5,1507.25,1432.25,4373.495
2024-02-01 11:00:00,868.3571,1659.75,1665,1645.25,4923.211
2024-02-01 12:00:00,915.5807,1666,1666.25,1666.25,4949.753
2024-02-01 13:00:00,880.8578,1661.5,1662.75,1654.25,4929.825
2024-02-01 14:00:00,773.2355,1507.75,1512,1500.25,4480.98
2024-02-01 15:00:00,593.4407,1180.25,1172.5,1182.75,3512.983
2024-02-01 16:00:00,312.9252,608.75,576.75,615,1794.547
2024-02-01 17:00:00,61.05064,93.25,86,95.75,273.0246
2024-02-01 18:00:00,0,0,0,0,-4.516345
2024-02-01 19:00:00,0,0,0,0,-4.396424
2024-02-01 20:00:00,0,0,0,0,-4.335428
2024-02-01 21:00:00,0,0,0,0,-4.349025
2024-02-01 22:00:00,0,0,0,0,-4.422871
2024-02-01 23:00:00,0,0,0,0,-4.417015
2024-02-02 00:00:00,0,0,0,0,-4.474732
2024-02-02 01:00:00,0,0,0,0,-4.52016
2024-02-02 02:00:00,0,0,0,0,-4.525123
2024-02-02 03:00:00,0,0,0,0,-4.545751
2024-02-02 04:00:00,0,0,0,0,-4.606188
2024-02-02 05:00:00,0,0,0,0,-4.504994
2024-02-02 06:00:00,0.1789503,0,0,0,-4.509932
2024-02-02 07:00:00,16.4843,22,24.5,19.25,63.29987
2024-02-02 08:00:00,233.7074,355.75,405.75,315,1074.517
2024-02-02 09:00:00,327.912,614.5,651.5,589.75,1850.472
2024-02-02 10:00:00,728.9532,1365,1395.25,1332.25,4060.366
2024-02-02 11:00:00,756.996,1417.25,1430.25,1405.75,4217.135
2024-02-02 12:00:00,900.3451,1660,1659.25,1656.75,4926.923
2024-02-02 13:00:00,869.3817,1649.75,1655.5,1640.25,4896.335
2024-02-02 14:00:00,780.874,1448.25,1421.5,1353.25,4185.287
2024-02-02 15:00:00,592.1663,1145.75,1147.5,1180.5,3453.1
2024-02-02 16:00:00,355.6203,667,637,676.75,1972.368
2024-02-02 17:00:00,80.16193,107.5,93.5,111.25,309.8311
2024-02-02 18:00:00,0,0,0,0,-4.51656
2024-02-02 19:00:00,0,0,0,0,-4.633459
2024-02-02 20:00:00,0,0,0,0,-4.624605
2024-02-02 21:00:00,0,0,0,0,-4.553272
2024-02-02 22:00:00,0,0,0,0,-4.560645
2024-02-02 23:00:00,0,0,0,0,-4.599356
2024-02-03 00:00:00,0,0,0,0,-4.54516
2024-02-03 01:00:00,0,0,0,0,-4.534087
2024-02-03 02:00:00,0,0,0,0,-4.597715
2024-02-03 03:00:00,0,0,0,0,-4.61836
2024-02-03 04:00:00,0,0,0,0,-4.549314
2024-02-03 05:00:00,0,0,0,0,-4.410497
2024-02-03 06:00:00,0,0,0,0,-4.329856
2024-02-03 07:00:00,40.0191,42.25,51.75,23.5,115.6817
2024-02-03 08:00:00,298.2995,492.75,579.75,423.75,1492.443
2024-02-03 09:00:00,552.9666,1080.5,1139.75,1048,3252.14
2024-02-03 10:00:00,753.2395,1482.5,1522.75,1448.25,4418.331
2024-02-03 11:00:00,879.1216,1660,1665,1646.75,4925.559
2024-02-03 12:00:00,929.3265,1666,1665.75,1665.75,4951.129
2024-02-03 13:00:00,894.3302,1664,1665.5,1662,4943.498
2024-02-03 14:00:00,782.186,1533.5,1542.25,1531.25,4565.724
2024-02-03 15:00:00,599.1199,1195.5,1190.75,1201.25,3564.816
2024-02-03 16:00:00,356.9713,698.75,664.75,708.5,2064.855
2024-02-03 17:00:00,82.6932,119.5,103.25,125.75,346.4958
2024-02-03 18:00:00,0,0,0,0,-4.501449
2024-02-03 19:00:00,0,0,0,0,-4.588702
2024-02-03 20:00:00,0,0,0,0,-4.55256
2024-02-03 21:00:00,0,0,0,0,-4.56584
2024-02-03 22:00:00,0,0,0,0,-4.529147
2024-02-03 23:00:00,0,0,0,0,-4.553557
2024-02-04 00:00:00,0,0,0,0,-4.511124
2024-02-04 01:00:00,0,0,0,0,-4.45932
2024-02-04 02:00:00,0,0,0,0,-4.501106
2024-02-04 03:00:00,0,0,0,0,-4.349174
2024-02-04 04:00:00,0,0,0,0,-4.356819
2024-02-04 05:00:00,0,0,0,0,-4.383509
2024-02-04 06:00:00,0,0,0,0,-4.364162
2024-02-04 07:00:00,43.54058,48,57.75,26.75,130.6156
2024-02-04 08:00:00,300.8901,506.75,586.5,437,1527.163
2024-02-04 09:00:00,547.131,1068.25,1122.5,1033.5,3209.616
2024-02-04 10:00:00,707.7228,1388.25,1422.5,1350,4131.236
2024-02-04 11:00:00,799.1768,1562.25,1585.5,1528,4636.353
2024-02-04 12:00:00,721.3592,1395.25,1416.75,1385.5,4165.496
2024-02-04 13:00:00,812.4011,1552.75,1565.25,1534.5,4611.114
2024-02-04 14:00:00,677.0568,1306.75,1309.25,1293,3880.858
2024-02-04 15:00:00,415.7544,804.25,803,801,2397.672
2024-02-04 16:00:00,147.1229,253,254.75,250.5,756.2867
2024-02-04 17:00:00,28.64881,47.5,48,47,140.6619
2024-02-04 18:00:00,0,0,0,0,-4.432958
2024-02-04 19:00:00,0,0,0,0,-4.495246
2024-02-04 20:00:00,0,0,0,0,-4.511394
2024-02-04 21:00:00,0,0,0,0,-4.500652
2024-02-04 22:00:00,0,0,0,0,-4.477888
2024-02-04 23:00:00,0,0,0,0,-4.542047
2024-02-05 00:00:00,0,0,0,0,-4.577317
2024-02-05 01:00:00,0,0,0,0,-4.564358
2024-02-05 02:00:00,0,0,0,0,-4.603521
2024-02-05 03:00:00,0,0,0,0,-4.570814
2024-02-05 04:00:00,0,0,0,0,-4.592488
2024-02-05 05:00:00,0,0,0,0,-4.511467
2024-02-05 06:00:00,0,0,0,0,-4.524301
2024-02-05 07:00:00,26.61188,35.25,38.5,30.25,101.5443
2024-02-05 08:00:00,168.9502,291,309,272.5,871.7871
2024-02-05 09:00:00,361.3434,710,742.75,688.25,2135.543
2024-02-05 10:00:00,658.275,1323.75,1348.25,1276.5,3920.525
2024-02-05 11:00:00,890.9991,1666.25,1666,1664.5,4949.248
2024-02-05 12:00:00,943.113,1666,1666,1666,4949.618
2024-02-05 13:00:00,907.0499,1666.25,1665.75,1666,4948.486
2024-02-05 14:00:00,794.3309,1561,1563,1554,4635.353
2024-02-05 15:00:00,609.8288,1215.5,1207,1218.5,3616.541
2024-02-05 16:00:00,368.824,719.75,687.25,726.75,2125.895
