Gauss Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"Schneider SmartGen CS1800 Inverter - 1.1, Active Power","Schneider SmartGen CS1800 Inverter - 1.2, Active Power","Schneider SmartGen CS1800 Inverter - 2.1, Active Power",Production meter active power
,W/m²,kW,kW,kW,kW
2024-02-01 00:00:00,0,0.002531115,-0.004941897,-0.00548978,-7.545158
2024-02-01 01:00:00,0,-0.004220078,-0.006663187,-0.003444312,-7.58996
2024-02-01 02:00:00,0,-0.01132421,0.003726604,-0.003015668,-7.518103
2024-02-01 03:00:00,0.0724495,0.0002863873,-0.001626992,-0.002569338,-7.476002
2024-02-01 04:00:00,0,-0.01083206,-0.008897766,0.0006507421,-7.435314
2024-02-01 05:00:00,0,-0.01555052,-0.008077594,0.005042774,-7.618624
2024-02-01 06:00:00,0,-0.02550885,0.0107274,0.01177826,-7.649631
2024-02-01 07:00:00,76.82913,22.80658,30.1918,34.46307,86.05621
2024-02-01 08:00:00,345.3348,488.952,511.394,485.4728,1481.416
2024-02-01 09:00:00,588.5553,1185.651,1179.25,1178.614,3512.382
2024-02-01 10:00:00,788.7097,1542.032,1533.008,1531.901,4555.864
2024-02-01 11:00:00,911.6987,1666.548,1666.062,1666.044,4937.595
2024-02-01 12:00:00,957.7416,1642.534,1661.255,1664.746,4914.497
2024-02-01 13:00:00,900.9518,1663.738,1660.781,1661.744,4923.986
2024-02-01 14:00:00,766.3245,1480.969,1469.368,1470.554,4369.342
2024-02-01 15:00:00,562.45,1101.833,1089.882,1093.409,3251.81
2024-02-01 16:00:00,304.1468,271.6715,288.5989,280.4864,832.8332
2024-02-01 17:00:00,34.99913,9.552199,10.03764,14.91488,35.04174
2024-02-01 18:00:00,0,-0.0006803375,-0.0003776775,0.006940059,-7.503077
2024-02-01 19:00:00,0,-0.009308147,-0.008640669,-0.004462958,-7.448347
2024-02-01 20:00:00,0,0.00247443,-0.006650929,0.01479684,-7.473144
