Faison,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA,"AE 1000NX - 1, AC Power","AE 1000NX - 2, AC Power",Production meter active power
,W/m²,kW,kW,kW
2024-03-04 22:00:00,0,0,0,-5.110452
2024-03-04 23:00:00,0,0,0,-5.056475
2024-03-05 00:00:00,0,0,0,-5.099917
2024-03-05 01:00:00,0,0,0,-5.098666
2024-03-05 02:00:00,0,0,0,-5.075075
2024-03-05 03:00:00,0,0,0,-5.079741
2024-03-05 04:00:00,0,0,0,-5.053113
2024-03-05 05:00:00,0,0,0,-4.981217
2024-03-05 06:00:00,0,2.057662,1.861134,-4.88518
2024-03-05 07:00:00,69.54755,87.87579,75.97532,155.0793
2024-03-05 08:00:00,126.3993,120.3769,110.6242,222.5303
2024-03-05 09:00:00,158.6983,153.2508,140.0667,285.554
2024-03-05 10:00:00,289.2643,280.8198,254.276,529.2032
2024-03-05 11:00:00,625.9116,530.6788,476.5616,1003.163
2024-03-05 12:00:00,955.2056,748.2719,730.9429,1477.099
2024-03-05 13:00:00,825.3771,749.5381,672.4127,1417.276
2024-03-05 14:00:00,714.6927,634.5603,581.2018,1205.408
2024-03-05 15:00:00,315.5517,278.7025,261.0502,530.8428
2024-03-05 16:00:00,320.2798,306.1205,272.5729,572.051
2024-03-05 17:00:00,88.20274,67.25686,60.56129,119.4599
2024-03-05 18:00:00,2.221945,0.534477,0.5929943,-6.932058
2024-03-05 19:00:00,0,0,0,-5.014522
2024-03-05 20:00:00,0,0,0,-5.09594
2024-03-05 21:00:00,0,0,0,-5.07606
2024-03-05 22:00:00,0,0,0,-5.061715
2024-03-05 23:00:00,0,0,0,-5.107242
2024-03-06 00:00:00,0,0,0,-5.077632
2024-03-06 01:00:00,0,0,0,-5.084937
2024-03-06 02:00:00,0,0,0,-5.104989
2024-03-06 03:00:00,0,0,0,-5.119011
2024-03-06 04:00:00,0,0,0,-5.107523
2024-03-06 05:00:00,0,0,0,-5.025046
2024-03-06 06:00:00,0.6150625,0,0,-8.254762
2024-03-06 07:00:00,20.3871,20.81943,19.0879,30.28447
2024-03-06 08:00:00,65.86191,67.05998,61.96208,120.3541
2024-03-06 09:00:00,60.30513,57.02095,52.66583,100.436
2024-03-06 10:00:00,96.91532,100.1309,91.88931,183.8842
2024-03-06 11:00:00,88.49933,93.98978,85.71977,171.583
2024-03-06 12:00:00,153.1935,156.2944,143.2121,291.5005
2024-03-06 13:00:00,93.80727,100.7601,92.81604,185.5291
2024-03-06 14:00:00,79.41168,74.57415,68.68202,134.5077
2024-03-06 15:00:00,125.1145,131.2464,119.5828,240.797
2024-03-06 16:00:00,279.9912,273.9458,248.4016,518.2731
