Lakeview Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2024-03-01 00:00:00,0.1037929,,,,,
2024-03-01 01:00:00,0.2111883,,,,,
2024-03-01 02:00:00,0.1101911,,,,,
2024-03-01 03:00:00,0.05902945,,,,,
2024-03-01 04:00:00,0.1342347,,,,,
2024-03-01 05:00:00,0.1214711,,,,,
2024-03-01 06:00:00,8.012827,,,,,
2024-03-01 07:00:00,84.96222,,,,,
2024-03-01 08:00:00,216.4068,,,,,
2024-03-01 09:00:00,364.9441,,,,,
2024-03-01 10:00:00,321.9067,669.5233,679.4116,723.4882,706.6282,2901.778
2024-03-01 11:00:00,547.1545,1802.977,1798.983,1794.593,1725.491,7094.644
2024-03-01 12:00:00,301.0655,1068.087,1070.889,1078.022,1040.072,4289.215
2024-03-01 13:00:00,229.7564,781.6441,778.8974,790.4816,764.7424,3117.868
2024-03-01 14:00:00,202.6129,565.885,561.55,574.9459,547.7392,2247.818
2024-03-01 15:00:00,174.6112,431.1242,427.6233,430.6492,409.4691,1706.357
2024-03-01 16:00:00,147.78,199.6983,213.155,221.8733,222.57,854.1733
2024-03-01 17:00:00,94.77402,49.28249,58.05084,55.77583,55.22667,229.1962
2024-03-01 18:00:00,0.1411117,0,0,0,0,-13.98317
2024-03-01 19:00:00,0.1135991,0,0,0,0,-14.03516
2024-03-01 20:00:00,0.07098305,0,0,0,0,-14.01917
2024-03-01 21:00:00,0.305818,0,0,0,0,-13.911
2024-03-01 22:00:00,0.2192348,0,0,0,0,-13.85534
2024-03-01 23:00:00,0.1311571,0,0,0,0,-13.91433
2024-03-02 00:00:00,0.06124,0,0,0,0,-13.8965
2024-03-02 01:00:00,0.03936115,0,0,0,0,-14.02617
2024-03-02 02:00:00,0,0,0,0,0,-14.00084
2024-03-02 03:00:00,0.1471649,0,0,0,0,-13.9325
2024-03-02 04:00:00,0,0,0,0,0,-13.91333
2024-03-02 05:00:00,0.03157878,0,0,0,0,-13.80517
2024-03-02 06:00:00,11.7174,0,0,0,0,-12.285
2024-03-02 07:00:00,126.791,66.11417,66.10583,84.11002,84.94249,302.538
2024-03-02 08:00:00,246.1021,199.585,208.7333,266.6725,275.9017,932.6186
