"Mariposa Solar Center, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC - 1, Active Power P","TMEIC - 2, Active Power P","TMEIC - 3, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2024-03-01 00:00:00,0,0,0,0,-9.599999
2024-03-01 01:00:00,0,0,0,0,-9.599999
2024-03-01 02:00:00,0,0,0,0,-9.599999
2024-03-01 03:00:00,0,0,0,0,-9.599999
2024-03-01 04:00:00,0,0,0,0,-9.599999
2024-03-01 05:00:00,0,0,0,0,-9.599999
2024-03-01 06:00:00,3.849359e-06,0,0,0,-9.599999
2024-03-01 07:00:00,59.70602,92.53528,97.04025,97.32128,288.952
2024-03-01 08:00:00,61.73259,108.0648,113.2243,112.2208,329.3055
2024-03-01 09:00:00,46.65059,89.99229,92.88874,92.59048,269.5242
2024-03-01 10:00:00,67.24395,124.0477,127.3608,126.4728,373.0026
2024-03-01 11:00:00,66.8362,125.7642,129.4648,128.7689,379.2259
2024-03-01 12:00:00,87.0219,161.7771,166.1969,165.1422,489.5482
2024-03-01 13:00:00,67.93109,130.8108,133.8967,132.8584,391.2972
2024-03-01 14:00:00,56.85028,108.3088,111.3708,110.6339,325.3763
2024-03-01 15:00:00,28.68842,47.66381,48.91916,48.61276,150.6742
2024-03-01 16:00:00,10.60246,3.024655,5.345874,5.255664,43.32407
2024-03-01 17:00:00,4.677365,0,0,0,6.168718
2024-03-01 18:00:00,0.1579372,0,0,0,-9.293999
2024-03-01 19:00:00,0,0,0,0,-9.599999
2024-03-01 20:00:00,0,0,0,0,-9.599999
2024-03-01 21:00:00,0,0,0,0,-9.599999
2024-03-01 22:00:00,0,0,0,0,-9.599999
2024-03-01 23:00:00,0,0,0,0,-9.599999
2024-03-02 00:00:00,0,0,0,0,-9.599999
2024-03-02 01:00:00,0,0,0,0,-9.599999
2024-03-02 02:00:00,0,0,0,0,-9.599999
2024-03-02 03:00:00,0,0,0,0,-9.599999
2024-03-02 04:00:00,0,0,0,0,-9.599999
2024-03-02 05:00:00,0,0,0,0,-9.599999
2024-03-02 06:00:00,0.1940199,0,0,0,-9.599999
2024-03-02 07:00:00,25.84151,36.4346,37.01134,36.29835,109.9872
2024-03-02 08:00:00,104.388,165.9061,172.3003,176.3524,521.6951
2024-03-02 09:00:00,155.9297,254.4232,262.8357,261.4496,775.4886
2024-03-02 10:00:00,285.4861,455.7497,471.0445,468.6014,1398.204
2024-03-02 11:00:00,430.2406,696.4648,714.9808,704.9001,2120.531
2024-03-02 12:00:00,734.7843,1247.442,1236.646,1220.219,3694.324
2024-03-02 13:00:00,644.8062,1031.502,995.5146,978.4371,3000.37
2024-03-02 14:00:00,635.3729,969.4614,1024.858,1037.731,3014.991
2024-03-02 15:00:00,461.1661,717.415,722.6662,735.5428,2132.132
2024-03-02 16:00:00,370.2392,567.0618,574.2669,573.3449,1700.174
2024-03-02 17:00:00,166.2859,198.2431,222.3818,218.533,635.3435
2024-03-02 18:00:00,2.830204,0,1.134713,1.131772,5.286301
2024-03-02 19:00:00,0,0,0,0,-9.599999
2024-03-02 20:00:00,0,0,0,0,-9.599999
2024-03-02 21:00:00,0,0,0,0,-9.599999
2024-03-02 22:00:00,0,0,0,0,-9.599999
2024-03-02 23:00:00,0,0,0,0,-9.599999
2024-03-03 00:00:00,0,0,0,0,-9.599999
2024-03-03 01:00:00,0,0,0,0,-9.599999
2024-03-03 02:00:00,0,0,0,0,-9.599999
2024-03-03 03:00:00,0,0,0,0,-9.599999
2024-03-03 04:00:00,0,0,0,0,-9.599999
2024-03-03 05:00:00,0,0,0,0,-9.599999
2024-03-03 06:00:00,0.3192112,0,0,0,-9.599999
2024-03-03 07:00:00,29.80627,42.93901,44.14117,43.68233,130.876
2024-03-03 08:00:00,99.28004,156.13,162.869,163.1535,477.6291
2024-03-03 09:00:00,137.1694,223.5928,231.7603,229.5492,681.8297
2024-03-03 10:00:00,184.0329,306.649,313.2527,308.2782,927.0111
2024-03-03 11:00:00,148.0451,249.2333,257.732,256.0792,760.5669
2024-03-03 12:00:00,177.6351,299.0129,308.7635,305.5478,909.4597
2024-03-03 13:00:00,217.7157,353.4534,360.4865,354.2877,1064.703
2024-03-03 14:00:00,165.3475,278.6655,282.0667,273.9017,830.5574
2024-03-03 15:00:00,368.3377,638.7341,636.1744,606.5254,1875.396
2024-03-03 16:00:00,469.6316,720.9504,750.8802,747.1085,2214.057
2024-03-03 17:00:00,176.5853,204.7677,232.5847,233.9542,663.9466
2024-03-03 18:00:00,2.915513,0,1.520676,1.340878,4.03546
2024-03-03 19:00:00,0,0,0,0,-9.599999
2024-03-03 20:00:00,0,0,0,0,-9.599999
2024-03-03 21:00:00,0,0,0,0,-9.599999
2024-03-03 22:00:00,0,0,0,0,-9.599999
